,_id,azienda,link,luogo,titolo
538,a_6d2ce82d44e68d2eac3ef8f3c9a37176,RGI,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Torino
",IT SECURITY ANALYST
539,a_c79ef81b0089feeecb775c5ca6bda450,Synergie,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Italia
",SALES DATA ANALYST - STAGE EXTRACURRICULARE
540,a_1c37513f256df14c9367b8486822a235,Fincons Spa,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Vimercate, Monza Brianza
",ANALYST BANKING
541,a_738430e804e43b5f94b665c49e998964,Antal International,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",IT DATA & BUSINESS ANALYST JUNIOR
542,a_49c02e18749f97757a9386e3c74ac366,Intesa Sanpaolo,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Stage Business Analyst Real Estate & Infrastructure
543,a_f92b038532764c6782ed506d7f6e2b0e,Gi Group,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Provincia di Como
",BUSINESS ANALYST
544,a_8e80e0b4c446e80281568509e3e3f403,,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Business Analyst_MI
545,a_33e1b0a1424e6364d8629aba0cc2d863,Sida Group,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Brescia
",Tirocinio: Web Analyst - Brescia
546,a_546d5cc1d71f9df215404951e23e57ba,Sida Group,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Bergamo
",Tirocinio: Web Analyst - Bergamo
547,a_174632b39683dabd4c283fa709fc35c9,Sida Group,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Tirocinio: Web Analyst - Milano
548,a_29d11aa4e1555c04b85ad87b8d008280,JoConnect,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Technical Analyst Mobile_MI
549,a_aa8cbf1bac69e19e0c430bfef11fea63,JoConnect,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Business Analyst_MI
550,a_b7e6d99be8d47fa61bb7aa9b6185e8b6,Synergie,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Suisio, Bergamo
",DATA ANALYST
551,a_29bd3d91d4a9389e86f56ca85bf45d26,Gi Group,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Terranuova Bracciolini, Arezzo
",PROCUREMENT & LOGISTICS ANALYST
